Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/04 12:42:23 PM GMT+3,Ireland,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,5 - extensive development needed,4,4,5 - extensive development needed,4,3,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:42:48 PM GMT+3,France,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water;Biofilm,Vertebrates;Invertebrates,3,3,2,5 - extensive development needed,3,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:43:39 PM GMT+3,France,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,3,2,1 - little development needed,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,3,Email
2023/09/04 12:44:59 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water;Biofilm,Micro-eukaryotes;Prokaryotes,4,2,2,4,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:46:52 PM GMT+3,Brazil,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Soil;Water,Vertebrates;Invertebrates,3,3,4,5 - extensive development needed,3,3,4,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:46:55 PM GMT+3,United States,researcher (academic),2-5 years,Doctoral student,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates,2,4,2,3,1 - little development needed,4,3,No idea,4,3,Email
2023/09/04 12:48:04 PM GMT+3,Australia,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Water,Vertebrates;Invertebrates;Plants/Macroalgae,3,4,2,No idea,No idea,No idea,No idea,5 - extensive development needed,5 - extensive development needed,No idea,Email
2023/09/04 12:49:12 PM GMT+3,Portugal,researcher (academic),> 5 years,Group leader/Professor,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates;Prokaryotes,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 12:49:25 PM GMT+3,France,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates,2,4,No idea,3,No idea,5 - extensive development needed,3,5 - extensive development needed,3,2,Email
2023/09/04 12:49:57 PM GMT+3,Germany,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment;Air,Vertebrates;Plants/Macroalgae;Micro-eukaryotes,4,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,4,2,5 - extensive development needed,Email
2023/09/04 12:50:27 PM GMT+3,Italy,researcher (academic),2-5 years,Group leader/Professor,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,3,3,4,5 - extensive development needed,2,2,4,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:50:28 PM GMT+3,Czech Republic,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Soil;Water,Prokaryotes,3,4,5 - extensive development needed,4,3,3,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:50:58 PM GMT+3,Spain,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment,Micro-eukaryotes,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,4,5 - extensive development needed,3,4,4,Email
2023/09/04 12:51:11 PM GMT+3,Italy,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Invertebrates,5 - extensive development needed,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:53:59 PM GMT+3,Netherlands,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Soil;Sediment;Water,Invertebrates;Micro-eukaryotes,3,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,3,4,5 - extensive development needed,Email
2023/09/04 12:55:49 PM GMT+3,Norway,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Micro-eukaryotes,5 - extensive development needed,4,4,5 - extensive development needed,3,3,5 - extensive development needed,No idea,5 - extensive development needed,3,Email
2023/09/04 12:56:01 PM GMT+3,Germany,researcher (academic),> 5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates,2,3,No idea,5 - extensive development needed,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/04 12:56:47 PM GMT+3,Australia,researcher (academic),> 5 years,Group leader/Professor,"Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Air;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae,3,1 - little development needed,2,3,3,3,3,3,3,3,Email
2023/09/04 12:57:56 PM GMT+3,France,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Plants/Macroalgae,5 - extensive development needed,4,2,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,Email
2023/09/04 12:58:39 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Biofilm,Micro-eukaryotes,3,2,3,3,1 - little development needed,1 - little development needed,1 - little development needed,3,3,3,Email
2023/09/04 12:58:40 PM GMT+3,Netherlands,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Micro-eukaryotes;Prokaryotes,4,3,3,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,4,3,No idea,Email
2023/09/04 1:01:16 PM GMT+3,Japan,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates,4,5 - extensive development needed,No idea,5 - extensive development needed,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 1:01:21 PM GMT+3,Switzerland,end-user (governmental organisation or similar),> 5 years,,,Non-governmental worker,"Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,Water,Vertebrates,5 - extensive development needed,No idea,No idea,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 1:02:26 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,3,4,3,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,4,3,4,Email
2023/09/04 1:04:01 PM GMT+3,Denmark,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,,Invertebrates;Plants/Macroalgae,4,4,3,5 - extensive development needed,3,5 - extensive development needed,No idea,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/04 1:05:10 PM GMT+3,Australia,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,2,3,5 - extensive development needed,3,5 - extensive development needed,2,3,2,4,Email
2023/09/04 1:06:31 PM GMT+3,Norway,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Plants/Macroalgae,4,3,3,5 - extensive development needed,4,5 - extensive development needed,3,4,4,3,Email
2023/09/04 1:07:16 PM GMT+3,Sweden,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,,Vertebrates,2,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,4,4,Email
2023/09/04 1:07:26 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Air;Water,Vertebrates,3,3,3,4,2,2,4,3,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 1:09:07 PM GMT+3,Norway,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 1:15:12 PM GMT+3,Norway,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Invertebrates;Micro-eukaryotes,3,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 1:16:15 PM GMT+3,Germany,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Air,Vertebrates;Micro-eukaryotes,5 - extensive development needed,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 1:21:54 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Invertebrates,5 - extensive development needed,4,2,3,5 - extensive development needed,4,4,2,3,5 - extensive development needed,Email
2023/09/04 1:24:28 PM GMT+3,Germany,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water,Invertebrates;Plants/Macroalgae;Micro-eukaryotes,1 - little development needed,3,No idea,5 - extensive development needed,2,4,4,5 - extensive development needed,5 - extensive development needed,4,Email
2023/09/04 1:28:15 PM GMT+3,Japan,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates;Invertebrates,5 - extensive development needed,5 - extensive development needed,1 - little development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,3,4,5 - extensive development needed,Email
2023/09/04 1:31:29 PM GMT+3,Germany,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Biofilm,Micro-eukaryotes,2,4,3,5 - extensive development needed,4,5 - extensive development needed,4,4,3,5 - extensive development needed,Email
