section,Authors,Author full names,Author(s) ID,Title,Year,Source title
Behaviour,Jo T.; Murakami H.; Yamamoto S.; Masuda R.; Minamoto T.,"Jo, Toshiaki (57194339165); Murakami, Hiroaki (57169451400); Yamamoto, Satoshi (55475457600); Masuda, Reiji (7101661522); Minamoto, Toshifumi (25639837900)",57194339165; 57169451400; 55475457600; 7101661522; 25639837900,"Effect of water temperature and fish biomass on environmental DNA shedding, degradation, and size distribution",2019,Ecology and Evolution
Behaviour,Cerco C.F.; Schultz M.T.; Noel M.R.; Skahill B.; Kim S.-C.,"Cerco, Carl F. (7004208829); Schultz, Martin T. (56999823000); Noel, Mark R. (7102322368); Skahill, Brian (6505810284); Kim, Sung-Chan (34975084200)",7004208829; 56999823000; 7102322368; 6505810284; 34975084200,A fate and transport model for Asian carp environmental DNA in the Chicago area waterways system,2018,Journal of Great Lakes Research
Behaviour,Odriozola I.; Martinović T.; Mašínová T.; Bahnmann B.D.; Machac A.; Sedlák P.; Tomšovský M.; Baldrian P.,"Odriozola, Iñaki (57192384403); Martinović, Tijana (57208238042); Mašínová, Tereza (57194174782); Bahnmann, Barbara Doreen (56454355000); Machac, Antonín (38561823100); Sedlák, Petr (26538158400); Tomšovský, Michal (57223258971); Baldrian, Petr (6603884238)",57192384403; 57208238042; 57194174782; 56454355000; 38561823100; 26538158400; 57223258971; 6603884238,"The spatial patterns of community composition, their environmental drivers and their spatial scale dependence vary markedly between fungal ecological guilds",2024,Global Ecology and Biogeography
Behaviour,Wood Z.T.; Lacoursière-Roussel A.; LeBlanc F.; Trudel M.; Kinnison M.T.; Garry McBrine C.; Pavey S.A.; Gagné N.,"Wood, Zachary T. (56906812500); Lacoursière-Roussel, Anaïs (26641910800); LeBlanc, Francis (57225339109); Trudel, Marc (7007009674); Kinnison, Michael T. (7004032143); Garry McBrine, Colton (57223051505); Pavey, Scott A. (22958264600); Gagné, Nellie (6603440909)",56906812500; 26641910800; 57225339109; 7007009674; 7004032143; 57223051505; 22958264600; 6603440909,"Spatial Heterogeneity of eDNA Transport Improves Stream Assessment of Threatened Salmon Presence, Abundance, and Location",2021,Frontiers in Ecology and Evolution
Behaviour,Gasparini L.; Crookes S.; Prosser R.S.; Hanner R.,"Gasparini, Louis (57223843876); Crookes, Steve (57163704200); Prosser, Ryan S. (55786128500); Hanner, Robert (16833486600)",57223843876; 57163704200; 55786128500; 16833486600,Detection of freshwater mussels (Unionidae) using environmental DNA in riverine systems,2020,Environmental DNA
Behaviour,Hirohara T.; Tsuri K.; Miyagawa K.; Paine R.T.R.; Yamanaka H.,"Hirohara, Takaya (57223845312); Tsuri, Kenji (57223842434); Miyagawa, Koichi (57224639781); Paine, Robert T. R. (57102874500); Yamanaka, Hiroki (57206228327)",57223845312; 57223842434; 57224639781; 57102874500; 57206228327,The Application of PMA (Propidium Monoazide) to Different Target Sequence Lengths of Zebrafish eDNA: A New Approach Aimed Toward Improving Environmental DNA Ecology and Biological Surveillance,2021,Frontiers in Ecology and Evolution
Behaviour,Sakata M.K.; Yamamoto S.; Gotoh R.O.; Miya M.; Yamanaka H.; Minamoto T.,"Sakata, Masayuki K. (57194330494); Yamamoto, Satoshi (55475457600); Gotoh, Ryo O. (36853319700); Miya, Masaki (7005173446); Yamanaka, Hiroki (57206228327); Minamoto, Toshifumi (25639837900)",57194330494; 55475457600; 36853319700; 7005173446; 57206228327; 25639837900,Sedimentary eDNA provides different information on timescale and fish species composition compared with aqueous eDNA,2020,Environmental DNA
Behaviour,Shogren A.J.; Tank J.L.; Egan S.P.; Bolster D.; Riis T.,"Shogren, Arial J. (57190765330); Tank, Jennifer L. (7004885835); Egan, Scott P. (14019554700); Bolster, Diogo (57205870864); Riis, Tenna (55979133000)",57190765330; 7004885835; 14019554700; 57205870864; 55979133000,"Riverine distribution of mussel environmental DNA reflects a balance among density, transport, and removal processes",2019,Freshwater Biology
Behaviour,Jerde C.L.; Olds B.P.; Shogren A.J.; Andruszkiewicz E.A.; Mahon A.R.; Bolster D.; Tank J.L.,"Jerde, Christopher L. (8574691500); Olds, Brett P. (55286238600); Shogren, Arial J. (57190765330); Andruszkiewicz, Elizabeth A. (57190762906); Mahon, Andrew R. (7005243200); Bolster, Diogo (57205870864); Tank, Jennifer L. (7004885835)",8574691500; 55286238600; 57190765330; 57190762906; 7005243200; 57205870864; 7004885835,Influence of Stream Bottom Substrate on Retention and Transport of Vertebrate Environmental DNA,2016,Environmental Science and Technology
Behaviour,Calderón-Sanou I.; Münkemüller T.; Boyer F.; Zinger L.; Thuiller W.,"Calderón-Sanou, Irene (57203914562); Münkemüller, Tamara (35234533500); Boyer, Frédéric (57204275685); Zinger, Lucie (18134653400); Thuiller, Wilfried (6602123683)",57203914562; 35234533500; 57204275685; 18134653400; 6602123683,From environmental DNA sequences to ecological conclusions: How strong is the influence of methodological choices?,2019,Journal of Biogeography
Behaviour,Murakami H.; Masuda R.; Yamamoto S.; Minamoto T.; Yamashita Y.,"Murakami, Hiroaki (57169451400); Masuda, Reiji (7101661522); Yamamoto, Satoshi (55475457600); Minamoto, Toshifumi (25639837900); Yamashita, Yoh (7402954570)",57169451400; 7101661522; 55475457600; 25639837900; 7402954570,Environmental DNA emission by two carangid fishes in single and mixed-species tanks,2022,Fisheries Science
Behaviour,Morse K.V.; Richardson D.R.; Brown T.L.; Vangundy R.D.; Cahoon A.B.,"Morse, Kendall V. (57222358203); Richardson, Dylan R. (57213192127); Brown, Teresa L. (57222358366); Vangundy, Robert D. (57205547930); Cahoon, Aubrey Bruce (7801312587)",57222358203; 57213192127; 57222358366; 57205547930; 7801312587,Longitudinal metabarcode analysis of karst bacterioplankton microbiomes provide evidence of epikarst to cave transport and community succession,2021,PeerJ
Behaviour,Prado J.S.; Ernetti J.R.; Pontes M.R.; Toledo L.F.,"Prado, Joelma S. (58191426800); Ernetti, Julia R. (57214591002); Pontes, Mariana Retuci (57205325248); Toledo, L. Felipe (7003557544)",58191426800; 57214591002; 57205325248; 7003557544,Chytrid in the clouds: an alternative passive transport of a lethal pathogen for amphibians,2023,Hydrobiologia
Behaviour,Jo T.; Yamanaka H.,"Jo, Toshiaki (57194339165); Yamanaka, Hiroki (57206228327)",57194339165; 57206228327,Meta-analyses of environmental DNA downstream transport and deposition in relation to hydrogeography in riverine environments,2022,Freshwater Biology
Behaviour,Wang Y.; Wen J.; Zhang J.,"Wang, Yurong (15754504600); Wen, Jiating (57845000200); Zhang, Jianmin (55940803100)",15754504600; 57845000200; 55940803100,Review on application of environmental DNA technology in river ecosystems; [eDNA技术及其在河流生态系统的研究进展],2020,Shuili Fadian Xuebao/Journal of Hydroelectric Engineering
Behaviour,Harrison J.B.; Sunday J.M.; Rogers S.M.,"Harrison, Jori B. (57195559433); Sunday, Jennifer M. (22942195700); Rogers, Sean M. (15019697500)",57195559433; 22942195700; 15019697500,Predicting the fate of eDNA in the environment and implications for studying biodiversity,2019,Proceedings of the Royal Society B: Biological Sciences
Behaviour,Yu X.; Zhou J.; Wei J.; Zhang B.; Lu X.,"Yu, Xue (57327926600); Zhou, Jiaying (57222048137); Wei, Jun (57928037300); Zhang, Bo (57927243700); Lu, Xueqiang (37070821000)",57327926600; 57222048137; 57928037300; 57927243700; 37070821000,Temperature May Play a More Important Role in Environmental DNA Decay than Ultraviolet Radiation,2022,Water (Switzerland)
Behaviour,Hinz S.; Coston-Guarini J.; Marnane M.; Guarini J.-M.,"Hinz, Shawn (57195982458); Coston-Guarini, Jennifer (36998488800); Marnane, Michael (9640022900); Guarini, Jean-Marc (6701787786)",57195982458; 36998488800; 9640022900; 6701787786,Evaluating eDNA for Use within Marine Environmental Impact Assessments,2022,Journal of Marine Science and Engineering
Behaviour,Garbelotto M.; Johnson M.G.,"Garbelotto, Matteo (6701803969); Johnson, Michael G. (58476642800)",6701803969; 58476642800,"High-Throughput DNA Metabarcoding of Stem Sections from Trees with Cavities Describes Fungal Communities Associated with Variable Wood Decay, Position on Stem and Tree Species",2023,Forests
Behaviour,Wacker S.; Fossøy F.; Larsen B.M.; Brandsegg H.; Sivertsgård R.; Karlsson S.,"Wacker, Sebastian (35171953500); Fossøy, Frode (14007209500); Larsen, Bjørn Mejdell (8133515900); Brandsegg, Hege (57222275512); Sivertsgård, Rolf (6504352431); Karlsson, Sten (20436053000)",35171953500; 14007209500; 8133515900; 57222275512; 6504352431; 20436053000,Downstream transport and seasonal variation in freshwater pearl mussel (Margaritifera margaritifera) eDNA concentration,2019,Environmental DNA
Behaviour,Scriver M.; Zaiko A.; Pochon X.; von Ammon U.,"Scriver, Michelle (57212177949); Zaiko, Anastasija (12902550200); Pochon, Xavier (6508177987); von Ammon, Ulla (57188658110)",57212177949; 12902550200; 6508177987; 57188658110,Harnessing decay rates for coastal marine biosecurity applications: A review of environmental DNA and RNA fate,2023,Environmental DNA
Behaviour,Sassoubre L.M.; Yamahara K.M.; Gardner L.D.; Block B.A.; Boehm A.B.,"Sassoubre, Lauren M. (10140349400); Yamahara, Kevan M. (16835557900); Gardner, Luke D. (7201375883); Block, Barbara A. (57203708487); Boehm, Alexandria B. (7006761389)",10140349400; 16835557900; 7201375883; 57203708487; 7006761389,Quantification of Environmental DNA (eDNA) Shedding and Decay Rates for Three Marine Fish,2016,Environmental Science and Technology
Behaviour,Fremier A.K.; Strickler K.M.; Parzych J.; Powers S.; Goldberg C.S.,"Fremier, Alexander K. (13007831100); Strickler, Katherine M. (53986737100); Parzych, Joseph (57209261566); Powers, Stephen (25724664700); Goldberg, Caren S. (35366254300)",13007831100; 53986737100; 57209261566; 25724664700; 35366254300,Stream Transport and Retention of Environmental DNA Pulse Releases in Relation to Hydrogeomorphic Scaling Factors,2019,Environmental Science and Technology
Behaviour,Jo T.; Arimoto M.; Murakami H.; Masuda R.; Minamoto T.,"Jo, Toshiaki (57194339165); Arimoto, Mio (57210470640); Murakami, Hiroaki (57169451400); Masuda, Reiji (7101661522); Minamoto, Toshifumi (25639837900)",57194339165; 57210470640; 57169451400; 7101661522; 25639837900,Estimating shedding and decay rates of environmental nuclear DNA with relation to water temperature and biomass,2020,Environmental DNA
Behaviour,Larson C.E.; Barge J.T.; Hatzenbuhler C.L.; Hoffman J.C.; Peterson G.S.; Pilgrim E.M.; Wiechman B.; Rees C.B.; Trebitz A.S.,"Larson, Courtney E. (57214066522); Barge, Jonathan T. (57208059369); Hatzenbuhler, Chelsea L. (57193906838); Hoffman, Joel C. (14828863900); Peterson, Greg S. (7402562941); Pilgrim, Erik M. (6506354802); Wiechman, Barry (6603119138); Rees, Christopher B. (57189255827); Trebitz, Anett S. (6602918309)",57214066522; 57208059369; 57193906838; 14828863900; 7402562941; 6506354802; 6603119138; 57189255827; 6602918309,Invasive Dreissena Mussel Coastal Transport From an Already Invaded Estuary to a Nearby Archipelago Detected in DNA and Zooplankton Surveys,2022,Frontiers in Marine Science
Behaviour,Lance R.F.; Klymus K.E.; Richter C.A.; Guan X.; Farrington H.L.; Carr M.R.; Thompson N.; Chapman D.C.; Baerwaldt K.L.,"Lance, Richard F. (7005777948); Klymus, Katy E. (36149958100); Richter, Catherine A. (7202686437); Guan, Xin (57769069200); Farrington, Heather L. (36627142600); Carr, Matthew R. (57191162445); Thompson, Nathan (57195395508); Chapman, Duane C. (55881622000); Baerwaldt, Kelly L. (56527381600)",7005777948; 36149958100; 7202686437; 57769069200; 36627142600; 57191162445; 57195395508; 55881622000; 56527381600,Experimental observations on the decay of environmental DNA from bighead and silver carps,2017,Management of Biological Invasions
Behaviour,Ellis E.E.; Edmondson J.L.; Maher K.H.; Hipperson H.; Campbell S.A.,"Ellis, Emilie E. (57218603582); Edmondson, Jill L. (41361105800); Maher, Kathryn H. (57193950301); Hipperson, Helen (24468022600); Campbell, Stuart A. (56961355800)",57218603582; 41361105800; 57193950301; 24468022600; 56961355800,Negative effects of urbanisation on diurnal and nocturnal pollen-transport networks,2023,Ecology Letters
Behaviour,Kazartsev I.A.; Kuznetsov A.A.; Pilshchikova N.S.,"Kazartsev, I.A. (55890250500); Kuznetsov, A.A. (54583707200); Pilshchikova, N.S. (57191372670)",55890250500; 54583707200; 57191372670,Study of fungal communities associated with wood debris using DNA metabarcoding,2016,Mikologiya I Fitopatologiya
Behaviour,Maillard F.; Jusino M.A.; Andrews E.; Moran M.; Vaziri G.J.; Banik M.T.; Fanin N.; Trettin C.C.; Lindner D.L.; Schilling J.S.,"Maillard, François (57201557255); Jusino, Michelle A. (56532498100); Andrews, Erin (57213677337); Moran, Molly (57218477633); Vaziri, Grace J. (57205456632); Banik, Mark T. (6603593828); Fanin, Nicolas (36945084000); Trettin, Carl C. (55377275100); Lindner, Daniel L. (14041855100); Schilling, Jonathan S. (10142971000)",57201557255; 56532498100; 57213677337; 57218477633; 57205456632; 6603593828; 36945084000; 55377275100; 14041855100; 10142971000,Wood-decay type and fungal guild dominance across a North American log transplant experiment,2022,Fungal Ecology
Behaviour,Plough L.V.; Bunch A.J.; Lee B.B.; Fitzgerald C.L.; Stence C.P.; Richardson B.,"Plough, Louis V. (54684954400); Bunch, Aaron J. (36014944100); Lee, Benjamin B. (57218681065); Fitzgerald, Catherine L. (57204156519); Stence, Chuck P. (37004934800); Richardson, Brian (55936902200)",54684954400; 36014944100; 57218681065; 57204156519; 37004934800; 55936902200,Development and testing of an environmental DNA (eDNA) assay for endangered Atlantic sturgeon to assess its potential as a monitoring and management tool,2021,Environmental DNA
Behaviour,Wilder M.L.; Farrell J.M.; Green H.C.,"Wilder, Maxwell L. (57211803636); Farrell, John M. (7201697405); Green, Hyatt C. (54786441400)",57211803636; 7201697405; 54786441400,Estimating eDNA shedding and decay rates for muskellunge in early stages of development,2023,Environmental DNA
Behaviour,Sansom B.J.; Sassoubre L.M.,"Sansom, Brandon J. (55627402500); Sassoubre, Lauren M. (10140349400)",55627402500; 10140349400,Erratum: Environmental DNA (eDNA) Shedding and Decay Rates to Model Freshwater Mussel eDNA Transport in a River (Environ. Sci. Technol. (2017) 51:24 (14244−14253) DOI: 10.1021/acs.est.7b05199),2022,Environmental Science and Technology
Behaviour,Lucas A.; Bodger O.; Brosi B.J.; Ford C.R.; Forman D.W.; Greig C.; Hegarty M.; Neyland P.J.; de Vere N.,"Lucas, Andrew (57195572035); Bodger, Owen (24166336800); Brosi, Berry J. (6603215696); Ford, Col R. (55246627100); Forman, Dan W. (7101730000); Greig, Carolyn (14123235700); Hegarty, Matthew (8748548300); Neyland, Penelope J. (56162667700); de Vere, Natasha (23488430200)",57195572035; 24166336800; 6603215696; 55246627100; 7101730000; 14123235700; 8748548300; 56162667700; 23488430200,Generalisation and specialisation in hoverfly (Syrphidae) grassland pollen transport networks revealed by DNA metabarcoding,2018,Journal of Animal Ecology
Behaviour,Murakami H.; Yoon S.; Kasai A.; Minamoto T.; Yamamoto S.; Sakata M.K.; Horiuchi T.; Sawada H.; Kondoh M.; Yamashita Y.; Masuda R.,"Murakami, Hiroaki (57169451400); Yoon, Seokjin (55775043600); Kasai, Akihide (7006388729); Minamoto, Toshifumi (25639837900); Yamamoto, Satoshi (55475457600); Sakata, Masayuki K. (57194330494); Horiuchi, Tomoya (57169564700); Sawada, Hideki (9942596900); Kondoh, Michio (7005073407); Yamashita, Yoh (7402954570); Masuda, Reiji (7101661522)",57169451400; 55775043600; 7006388729; 25639837900; 55475457600; 57194330494; 57169564700; 9942596900; 7005073407; 7402954570; 7101661522,Dispersion and degradation of environmental DNA from caged fish in a marine environment,2019,Fisheries Science
Behaviour,Sansom B.J.; Sassoubre L.M.,"Sansom, Brandon J. (55627402500); Sassoubre, Lauren M. (10140349400)",55627402500; 10140349400,Environmental DNA (eDNA) Shedding and Decay Rates to Model Freshwater Mussel eDNA Transport in a River,2017,Environmental Science and Technology
Behaviour,Roussel J.-M.; Paillisson J.-M.; Tréguier A.; Petit E.,"Roussel, Jean-Marc (7102949911); Paillisson, Jean-Marc (6602257385); Tréguier, Anne (56015365800); Petit, Eric (7005936013)",7102949911; 6602257385; 56015365800; 7005936013,The downside of eDNA as a survey tool in water bodies,2015,Journal of Applied Ecology
Behaviour,Gilmartin E.C.; Jusino M.A.; Pyne E.J.; Banik M.T.; Lindner D.L.; Boddy L.,"Gilmartin, Emma C. (57215770255); Jusino, Michelle A. (56532498100); Pyne, Edward J. (57222412929); Banik, Mark T. (6603593828); Lindner, Daniel L. (14041855100); Boddy, Lynne (7006748996)",57215770255; 56532498100; 57222412929; 6603593828; 14041855100; 7006748996,Fungal endophytes and origins of decay in beech (Fagus sylvatica) sapwood,2022,Fungal Ecology
Behaviour,Valentin R.E.; Kyle K.E.; Allen M.C.; Welbourne D.J.; Lockwood J.L.,"Valentin, Rafael E. (57130427500); Kyle, Kathleen E. (57215876190); Allen, Michael C. (55447413900); Welbourne, Dustin J. (55634919800); Lockwood, Julie L. (7102841592)",57130427500; 57215876190; 55447413900; 55634919800; 7102841592,"The state, transport, and fate of aboveground terrestrial arthropod eDNA",2021,Environmental DNA
Behaviour,Andruszkiewicz Allan E.; Zhang W.G.; C. Lavery A.; F. Govindarajan A.,"Andruszkiewicz Allan, Elizabeth (57223697726); Zhang, Weifeng Gordon (18937980500); C. Lavery, Andone (57223710685); F. Govindarajan, Annette (57223700951)",57223697726; 18937980500; 57223710685; 57223700951,Environmental DNA shedding and decay rates from diverse animal forms and thermal regimes,2021,Environmental DNA
Behaviour,Lu Q.; Zhang S.-Y.; Du J.; Liu Q.; Dong C.; Zhao J.; Wang Y.; Yao M.,"Lu, Qi (57211866791); Zhang, Si-Yu (57223261644); Du, Jianqing (57209979577); Liu, Qiang (57208517941); Dong, Chunxia (8374192700); Zhao, Jindong (7410314635); Wang, Yanfen (57204845855); Yao, Meng (36852632500)",57211866791; 57223261644; 57209979577; 57208517941; 8374192700; 7410314635; 57204845855; 36852632500,Multi-group biodiversity distributions and drivers of metacommunity organization along a glacial–fluvial–limnic pathway on the Tibetan plateau,2023,Environmental Research
Behaviour,Klymus K.E.; Richter C.A.; Chapman D.C.; Paukert C.,"Klymus, Katy E. (36149958100); Richter, Catherine A. (7202686437); Chapman, Duane C. (55881622000); Paukert, Craig (7004179660)",36149958100; 7202686437; 55881622000; 7004179660,Quantification of eDNA shedding rates from invasive bighead carp Hypophthalmichthys nobilis and silver carp Hypophthalmichthys molitrix,2015,Biological Conservation
Behaviour,Wei N.; Nakajima F.; Tobino T.,"Wei, Nan (56196260800); Nakajima, Fumiyuki (7102923245); Tobino, Tomohiro (54421458700)",56196260800; 7102923245; 54421458700,"A Microcosm Study of Surface Sediment Environmental DNA: Decay Observation, Abundance Estimation, and Fragment Length Comparison",2018,Environmental Science and Technology
Behaviour,Lamb P.D.; Fonseca V.G.; Maxwell D.L.; Nnanatu C.C.,"Lamb, Philip D. (57198443992); Fonseca, Vera G. (36058658400); Maxwell, David L. (56230488200); Nnanatu, Chibuzor C. (56667601700)",57198443992; 36058658400; 56230488200; 56667601700,Systematic review and meta-analysis: Water type and temperature affect environmental DNA decay,2022,Molecular Ecology Resources
Behaviour,Morrissey S.J.; Jerry D.R.; Kingsford M.J.,"Morrissey, Scott J. (57216151236); Jerry, Dean R. (7003581046); Kingsford, Michael J. (7004059723)",57216151236; 7003581046; 7004059723,Genetic Detection and a Method to Study the Ecology of Deadly Cubozoan Jellyfish,2022,Diversity
Behaviour,Weber D.J.; Tessler M.; Pearson S.H.,"Weber, Daniel J. (58777193600); Tessler, Michael (55619619500); Pearson, Steven H. (58777391000)",58777193600; 55619619500; 58777391000,"Environmental DNA detection range for Hydrilla verticillata, a prolific invasive plant",2023,Freshwater Science
Behaviour,Schmidt P.-A.; Bálint M.; Greshake B.; Bandow C.; Römbke J.; Schmitt I.,"Schmidt, Philipp-André (57199317237); Bálint, Miklós (36877290100); Greshake, Bastian (55758977900); Bandow, Cornelia (26027444800); Römbke, Jörg (7004013878); Schmitt, Imke (7003630742)",57199317237; 36877290100; 55758977900; 26027444800; 7004013878; 7003630742,Illumina metabarcoding of a soil fungal community,2013,Soil Biology and Biochemistry
Behaviour,Brandão-Dias P.F.; Tank J.L.; Snyder E.D.; Mahl U.H.; Peters B.; Bolster D.; Shogren A.J.; Lamberti G.A.; Bibby K.; Egan S.P.,"Brandão-Dias, Pedro F..P. (57188685410); Tank, Jennifer L. (7004885835); Snyder, Elise D. (58065292900); Mahl, Ursula H. (37061278100); Peters, Brett (57195340274); Bolster, Diogo (57205870864); Shogren, Arial J. (57190765330); Lamberti, Gary A. (7004993649); Bibby, Kyle (36087076200); Egan, Scott P. (14019554700)",57188685410; 7004885835; 58065292900; 37061278100; 57195340274; 57205870864; 57190765330; 7004993649; 36087076200; 14019554700,Suspended Materials Affect Particle Size Distribution and Removal of Environmental DNA in Flowing Waters,2023,Environmental Science and Technology
Behaviour,Kazartsev I.; Shorohova E.; Kapitsa E.; Kushnevskaya H.,"Kazartsev, Igor (55890250500); Shorohova, Ekaterina (21234507300); Kapitsa, Ekaterina (24068906200); Kushnevskaya, Helena (21233910100)",55890250500; 21234507300; 24068906200; 21233910100,Decaying Picea abies log bark hosts diverse fungal communities,2018,Fungal Ecology
Behaviour,Hernández-Alomía F.; Bastidas-Caldes C.; Ballesteros I.; Tenea G.N.; Jarrín-V P.; Molina C.A.; Castillejo P.,"Hernández-Alomía, Fernanda (57349282500); Bastidas-Caldes, Carlos (57241376800); Ballesteros, Isabel (57217869385); Tenea, Gabriela N. (6504615814); Jarrín-V, Pablo (8685588100); Molina, C. Alfonso (57217254058); Castillejo, Pablo (56047144600)",57349282500; 57241376800; 57217869385; 6504615814; 8685588100; 57217254058; 56047144600,"Beta-Lactam Antibiotic Resistance Genes in the Microbiome of the Public Transport System of Quito, Ecuador",2023,International Journal of Environmental Research and Public Health
Behaviour,Snyder E.D.; Tank J.L.; Brandão-Dias P.F.P.; Bibby K.; Shogren A.J.; Bivins A.W.; Peters B.; Curtis E.M.; Bolster D.; Egan S.P.; Lamberti G.A.,"Snyder, Elise D. (58065292900); Tank, Jennifer L. (7004885835); Brandão-Dias, Pedro F.P. (57188685410); Bibby, Kyle (36087076200); Shogren, Arial J. (57190765330); Bivins, Aaron W. (57194944880); Peters, Brett (57195340274); Curtis, Erik M. (58562876400); Bolster, Diogo (57205870864); Egan, Scott P. (14019554700); Lamberti, Gary A. (7004993649)",58065292900; 7004885835; 57188685410; 36087076200; 57190765330; 57194944880; 57195340274; 58562876400; 57205870864; 14019554700; 7004993649,Environmental DNA (eDNA) removal rates in streams differ by particle size under varying substrate and light conditions,2023,Science of the Total Environment
